Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,0.1u,C1590
"C10, C12, C13, C14, C15, C2, C3, C4, C5, C6, C8",0603,11,1u,C15849
"C11, C7",0805,2,10uF,C15850
C16,NFM21PC_Feedthrough_Cap,1,NFM21PC104R1E3D,C86150
C9,1206,1,22uF,C12891
D1,D_SOD-323_HandSoldering,1,"CUS10S30,H3F",C146335
D2,SOT-23,1,ESD2CANFD24,C5278878
D3,D_SMA,1,SMAJ17A-13-F,C134963
J1,USB_C_Receptacle_JAE_DX07S024WJ3R400,1,USB_C_Receptacle_USB2.0_16P,C2896636
J3,JST_PH_B5B-PH-SM4-TB_1x05-1MP_P2.00mm_Vertical,1,Conn_01x05,C265085
L1,IND_LQH5BPN2R2NT0L,1,2.2uH,C135262
L2,0805,1,MPZ2012S601AT000,C21519
"R1, R10, R11, R12, R13, R14, R16, R2, R9",0603,9,5.1k,C105580
"R15, R3, R8",0603,3,47k,C25819
"R4, R5, R6, R7",0603,4,100,C105588
SW1,SW_SPST_PTS810,1,RST,C221896
SW2,SW_DIP_SPSTx02_Slide_6.7x6.64mm_W8.61mm_P2.54mm_LowProfile,1,SW_DIP_x02,C3312524
U1,LQFP-48_7x7mm_P0.5mm,1,STM32G431CBTx,C529355
"U10, U9",SOT-353_SC-70-5,2,SN74AUP1T34DCK,C131985
U2,SOT-23-6,1,USBLC6-2SC6,C7519
U3,SOT-23-5,1,SN74LVC1G126DBV,C46472327
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,TCAN3414,C22396693
U5,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,1,TPS62172DSG,C59873
U6,3DM-CV7,1,~,C6659241
U7,InvenSense_QFN-24_3x3mm_P0.4mm,1,ICM-20948,
U8,SOT-23,1,MCP1700x-180xxTT,C150796
