Designator,Mid X,Mid Y,Rotation,Layer
C1,56.25,-85.0,270.0,top
C10,75.85,-69.45,90.0,top
C11,87.2,-93.7,90.0,top
C12,90.4125,-91.0,180.0,top
C13,80.25,-96.6,270.0,top
C14,83.15,-92.42,90.0,top
C15,76.5,-93.25,270.0,top
C16,71.595,-48.13,270.0,top
C2,71.0,-68.225,270.0,top
C3,61.725,-65.0,0.0,top
C4,68.25,-77.5,180.0,top
C5,65.275,-77.5,180.0,top
C6,58.65,-68.1,90.0,top
C7,68.15,-46.65,270.0,top
C8,46.5,-59.5,90.0,top
C9,65.65,-49.6,0.0,top
D1,48.5,-85.0,0.0,top
D2,56.9375,-59.45,180.0,top
D3,74.89,-49.3675,90.0,top
J1,60.03,-90.6,90.0,top
J3,67.59,-56.95,180.0,top
L1,60.6,-47.6,270.0,top
L2,71.59,-51.37,270.0,top
R1,55.5,-92.0,90.0,top
R10,78.6,-88.55,90.0,top
R11,81.9,-88.55,90.0,top
R12,85.15,-88.55,90.0,top
R13,80.25,-88.55,90.0,top
R14,83.55,-88.55,90.0,top
R15,52.95,-64.75,0.0,top
R16,52.95,-66.35,180.0,top
R2,65.0,-89.325,90.0,top
R3,55.35,-77.9,180.0,top
R4,67.0,-86.95,270.0,top
R5,72.6,-86.5,270.0,top
R6,71.1,-86.5,270.0,top
R7,74.1,-86.5,270.0,top
R8,44.825,-64.0,180.0,top
R9,76.95,-88.55,90.0,top
SW1,67.05,-83.5,0.0,top
SW2,51.95,-73.2,0.0,top
U1,64.8375,-71.25,270.0,top
U10,83.75,-96.65,90.0,top
U2,53.75,-85.0,270.0,top
U3,48.5,-65.0,180.0,top
U4,51.0,-59.5,270.0,top
U5,65.3,-46.6,180.0,top
U6,96.4937,-71.5,270.0,top
U7,79.65,-92.45,0.0,top
U8,90.55,-93.75,180.0,top
U9,77.85,-96.7,90.0,top
